ABX3,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,exp_label
LiNO3,Li,N,O,1,5,-2,0.92,0.13,1.4,1.07,13.39,-1
LiPO3,Li,P,O,1,5,-2,0.92,0.38,1.4,0.92,5.42,-1
LiReO3,Li,Re,O,1,5,-2,0.92,0.58,1.4,0.83,4.85,-1
LiSbO3,Li,Sb,O,1,5,-2,0.92,0.6,1.4,0.82,4.92,-1
LiTaO3,Li,Ta,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1
LiVO3,Li,V,O,1,5,-2,0.92,0.54,1.4,0.85,4.79,-1
LiZnF3,Li,Zn,F,1,2,-1,0.92,0.74,1.33,0.77,6.51,-1
LuBO3,Lu,B,O,3,3,-2,1.03,0.27,1.4,1.03,4.74,-1
LuCrO3,Lu,Cr,O,3,3,-2,1.03,0.62,1.4,0.85,3,1
LuFeO3,Lu,Fe,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1
LuMnO3,Lu,Mn,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1
LuTiO3,Lu,Ti,O,3,3,-2,1.03,0.67,1.4,0.83,3.79,1
MgCO3,Mg,C,O,2,4,-2,0.89,0.16,1.4,1.04,11.23,-1
MgGeO3,Mg,Ge,O,2,4,-2,0.89,0.53,1.4,0.84,5.12,-1
MgSeO3,Mg,Se,O,2,4,-2,0.89,0.5,1.4,0.85,4.97,-1
MgSiO3,Mg,Si,O,2,4,-2,0.89,0.4,1.4,0.9,5.06,1
MgTiO3,Mg,Ti,O,2,4,-2,0.89,0.6,1.4,0.81,5.94,-1
MgVO3,Mg,V,O,2,4,-2,0.89,0.58,1.4,0.82,5.58,-1
MnCO3,Mn,C,O,2,4,-2,0.96,0.16,1.4,1.07,11.45,-1
MnLiF3,Mn,Li,F,2,1,-1,0.96,0.76,1.33,0.77,8.56,-1
MnLiI3,Mn,Li,I,2,1,-1,0.96,0.76,2.2,0.75,9.71,-1
MnSeO3,Mn,Se,O,2,4,-2,0.96,0.5,1.4,0.88,4.69,-1
MnSiO3,Mn,Si,O,2,4,-2,0.96,0.4,1.4,0.93,4.98,-1
MnSO3,Mn,S,O,2,4,-2,0.96,0.37,1.4,0.94,5.23,-1
NaAsO3,Na,As,O,1,5,-2,1.39,0.46,1.4,1.06,4.78,-1
NaBeCl3,Na,Be,Cl,1,2,-1,1.39,0.45,1.81,1,5.76,-1
NaBiO3,Na,Bi,O,1,5,-2,1.39,0.76,1.4,0.91,3.87,-1
NaBrO3,Na,Br,O,1,5,-2,1.39,0.31,1.4,1.15,6.5,-1
NaCaBr3,Na,Ca,Br,1,2,-1,1.39,1,1.96,0.8,5.18,-1
NaCaCl3,Na,Ca,Cl,1,2,-1,1.39,1,1.81,0.81,5.03,-1
NaCaF3,Na,Ca,F,1,2,-1,1.39,1,1.33,0.83,4.55,-1
NaCaI3,Na,Ca,I,1,2,-1,1.39,1,2.2,0.79,5.42,-1
NaCdBr3,Na,Cd,Br,1,2,-1,1.39,0.95,1.96,0.81,4.91,-1
NaCdCl3,Na,Cd,Cl,1,2,-1,1.39,0.95,1.81,0.82,4.75,-1
NaCdF3,Na,Cd,F,1,2,-1,1.39,0.95,1.33,0.84,4.24,-1
NaCdI3,Na,Cd,I,1,2,-1,1.39,0.95,2.2,0.81,5.16,-1
NaClO3,Na,Cl,O,1,5,-2,1.39,0.12,1.4,1.3,15.4,-1
NaCoF3,Na,Co,F,1,2,-1,1.39,0.74,1.33,0.93,3.78,1
NaCrCl3,Na,Cr,Cl,1,2,-1,1.39,0.8,1.81,0.87,4.41,-1
NaCrF3,Na,Cr,F,1,2,-1,1.39,0.8,1.33,0.9,3.81,1
NaCuF3,Na,Cu,F,1,2,-1,1.39,0.73,1.33,0.93,3.78,1
NaFeF3,Na,Fe,F,1,2,-1,1.39,0.78,1.33,0.91,3.79,1
NaHgI3,Na,Hg,I,1,2,-1,1.39,1.02,2.2,0.79,5.56,-1
NaIO3,Na,I,O,1,5,-2,1.39,0.95,1.4,0.84,4.32,1
NaMgBr3,Na,Mg,Br,1,2,-1,1.39,0.72,1.96,0.88,4.66,-1
NaMgF3,Na,Mg,F,1,2,-1,1.39,0.72,1.33,0.94,3.78,1
NaMgI3,Na,Mg,I,1,2,-1,1.39,0.72,2.2,0.87,4.99,-1
