wavenumber [cm^-1],absorbance
1277.188303,0.079
1281.875805,0.065
1286.563307,0.057
1291.250808,0.052
1295.93831,0.048
1300.625812,0.046
1305.313314,0.046
1310.000815,0.046
1314.688317,0.047
1319.375819,0.048
1324.06332,0.048
1328.750822,0.05
1333.438324,0.051
1338.125826,0.056
1342.813327,0.062
1347.500829,0.07
1352.188331,0.084
1356.875833,0.108
1361.563334,0.143
1366.250836,0.174
1370.938338,0.234
1375.62584,0.279
1380.313341,0.315
1385.000843,0.313
1389.688345,0.289
1394.375847,0.347
1399.063348,0.231
1403.75085,0.275
1408.438352,0.298
1413.125854,0.253
1417.813355,0.194
1422.500857,0.139
1427.188359,0.108
1431.875861,0.094
1436.563362,0.09
1441.250864,0.088
1445.938366,0.087
1450.625868,0.107
1455.313369,0.104
1460.000871,0.069
1464.688373,0.064
1469.375874,0.06
1474.063376,0.059
1478.750878,0.058
1483.43838,0.051
1488.125881,0.045
1492.813383,0.04
1497.500885,0.034
1502.188387,0.029
1506.875888,0.026
1511.56339,0.02
1516.250892,0.017
1520.938394,0.014
1525.625895,0.011
1530.313397,0.008
1535.000899,0.007
1539.688401,0.006
1544.375902,0.005
1549.063404,0.003
1553.750906,0.003
1558.438408,0.005
1563.125909,0.003
1567.813411,0.003
1572.500913,0.003
1577.188415,0.003
1581.875916,0.004
1586.563418,0.003
1591.25092,0.004
1595.938422,0.005
1600.625923,0.004
1605.313425,0.005
1610.000927,0.005
1614.688428,0.005
1619.37593,0.005
1624.063432,0.006
1628.750934,0.005
1633.438435,0.005
1638.125937,0.005
1642.813439,0.005
1647.500941,0.005
1652.188442,0.007
1656.875944,0.007
1661.563446,0.005
1666.250948,0.005
1670.938449,0.005
1675.625951,0.005
1680.313453,0.007
1685.000955,0.007
1689.688456,0.005
1694.375958,0.005
1699.06346,0.006
1703.750962,0.006
1708.438463,0.006
1713.125965,0.007
1717.813467,0.008
1722.500969,0.007
1727.18847,0.007
1731.875972,0.007
1736.563474,0.007
1741.250976,0.007
1745.938477,0.007
1750.625979,0.007
1755.313481,0.007
1760.000982,0.007
1764.688484,0.008
1769.375986,0.008
1774.063488,0.007
1778.750989,0.005
1783.438491,0.005
1788.125993,0.005
1792.813495,0.005
1797.500996,0.005
1802.188498,0.003
1806.876,0.003
1811.563502,0.003
1816.251003,0.003
1820.938505,0.002
1825.626007,0.001
1830.313509,0.002
